"","locality","decimalLatitude","decimalLongitude","locationID","tmp_vatnLnr"
"217","Røsvatnet",63.7848991530598,10.8482550746188,"NVE:vatnLnr:36969",36969
"218","Stordalsvatnet",63.7935080995036,10.8962206512315,"NVE:vatnLnr:36950",36950
"219","Leksdalsvatnet",63.8565068013524,11.6002804764456,"NVE:vatnLnr:942",942
"220","Kjesbuvatnet",63.8157472309276,11.7509218195113,"NVE:vatnLnr:925",925
"221","Nesvatnet",63.6481061086133,11.0889497940486,"NVE:vatnLnr:37128",37128
"222","Movatnet",63.6216428127707,11.2319106106549,"NVE:vatnLnr:914",914
"223","Byavatnet",63.6622119693687,11.0145773241962,"NVE:vatnLnr:919",919
"224","Hammervatnet",63.6168479177813,11.0131408565022,"NVE:vatnLnr:912",912
"225","Hoklingen",63.6231482950383,11.13960006467,"NVE:vatnLnr:913",913
"226","Hovdalsvatnet",63.6213075897833,10.8669110099661,"NVE:vatnLnr:917",917
"227","Bergsvatnet",63.5984059439331,10.7473787387188,"NVE:vatnLnr:37163",37163
"228","Remmavatnet",63.6002102337456,10.7548371542905,"NVE:vatnLnr:37160",37160
"229","Julvatnet",63.7452148224925,10.5428595368425,"NVE:vatnLnr:37031",37031
"230","Rypvatnet",63.7424339883256,10.5179529116638,"NVE:vatnLnr:37039",37039
"231","Fjellvatna",63.7348472511742,10.4572992959831,"NVE:vatnLnr:67901",67901
"232","Fjellvatna",63.7382724670597,10.4849653403272,"NVE:vatnLnr:65792",65792
"233","Båvatnet",63.7347103344061,10.5013251783148,"NVE:vatnLnr:37052",37052
"234","Fiskløysa",63.6043594306098,10.3015020840971,"NVE:vatnLnr:37161",37161
"235","Langen",63.6836843634663,10.4261199092011,"NVE:vatnLnr:37098",37098
"236","Bjørsjøen",63.6942678369134,10.4021529465927,"NVE:vatnLnr:37091",37091
"237","Skjellbreivatnet",63.6816930753517,10.4939006151164,"NVE:vatnLnr:37100",37100
"238","Romsjøen",63.4030082146681,11.0920174846907,"NVE:vatnLnr:37348",37348
"239","Stor-Rennen",63.3696298113768,10.9712993129647,"NVE:vatnLnr:37417",37417
"240","Lauvvatnet",63.3667405825936,11.0159330447361,"NVE:vatnLnr:37416",37416
"241","Hjelpdalsvatnet",63.4823597881135,11.0225576145444,"NVE:vatnLnr:37272",37272
"242","Ålvatnet",63.3644668685551,10.6723557579328,"NVE:vatnLnr:104887",104887
